id,sourcePath,examTypes,questionType,difficulty,kpGroup,archetypeId,taskFlavor,qualityScore,reasons,recommendedAction
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b067-gesp-5-hard-v01/question-bundles/2026-05-01-bulk1000-b067-gesp-5-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-5,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b080-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b080-csp-s-hard-v01__question-bundle__single-choice__alg__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b080-csp-s-hard-v01/question-bundles/2026-05-01-bulk1000-b080-csp-s-hard-v01__question-bundle__single-choice__alg__n5__v01.json,CSP-S,single_choice,hard,ALG,inferred-binary_search_boundary,binary_search_boundary,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-3,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-3,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-3,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-3,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json#4,papers/2026/2026-05-01-bulk1000-b085-gesp-3-hard-v01/question-bundles/2026-05-01-bulk1000-b085-gesp-3-hard-v01__question-bundle__single-choice__math__n5__v01.json,GESP-3,single_choice,hard,MATH,inferred-generic_concept,generic_concept,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json#0,papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json,GESP-8,single_choice,hard,CPP,inferred-final_scalar_value,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json#1,papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json,GESP-8,single_choice,hard,CPP,inferred-final_scalar_value,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json#2,papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json,GESP-8,single_choice,hard,CPP,inferred-final_scalar_value,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json#3,papers/2026/2026-05-01-bulk1000-b088-gesp-8-hard-v01/question-bundles/2026-05-01-bulk1000-b088-gesp-8-hard-v01__question-bundle__single-choice__cpp__n5__v01.json,GESP-8,single_choice,hard,CPP,inferred-final_scalar_value,final_scalar_value,0.42,qualityScore_below_0.65|hard_difficulty_rubric_failed|parameterized_template_cluster,rewrite_or_archive_review
